year,period,tx_unemployed,tx_lbr_pool,tx_u_rate,tx_wage,date,pct_chg_tx_lbr_pool,pct_chg_tx_wage
2016,M06,212873,7276420,2.9,26.67083957,2016-06-01,0.50,11.54
2016,M07,219687,7306826,3,26.70316548,2016-07-01,0.42,3.45
2016,M08,218334,7269720,3,26.74959142,2016-08-01,-0.51,0.00
2016,M09,218304,7292497,3,27.16173892,2016-09-01,0.31,0.00
2016,M10,202928,7275690,2.8,27.34610766,2016-10-01,-0.23,-6.67
2016,M11,197931,7280033,2.7,27.06583722,2016-11-01,0.06,-3.57
2016,M12,201388,7276766,2.8,26.965654,2016-12-01,-0.04,3.70
2017,M01,220030,7296579,3,27.44156011,2017-01-01,0.27,7.14
2017,M02,211569,7338939,2.9,27.17830069,2017-02-01,0.58,-3.33
2017,M03,197691,7343156,2.7,27.17704395,2017-03-01,0.06,-6.90
2017,M04,183887,7345653,2.5,27.47333622,2017-04-01,0.03,-7.41
2017,M05,181291,7327149,2.5,27.1991146,2017-05-01,-0.25,0.00
2017,M06,193713,7354871,2.6,26.83429824,2017-06-01,0.38,4.00
2017,M07,192838,7379947,2.6,27.30615268,2017-07-01,0.34,0.00
2017,M08,195128,7351913,2.7,26.8826006,2017-08-01,-0.38,3.85
2017,M09,189668,7393063,2.6,27.25877304,2017-09-01,0.56,-3.70
2017,M10,168657,7358660,2.3,27.45456055,2017-10-01,-0.47,-11.54
2017,M11,173256,7405426,2.3,27.30894302,2017-11-01,0.64,0.00
2017,M12,171396,7405477,2.3,27.34109757,2017-12-01,0.00,0.00
2018,M01,187543,7413366,2.5,27.17141001,2018-01-01,0.11,8.70
2018,M02,181394,7500153,2.4,27.22663473,2018-02-01,1.17,-4.00
2018,M03,172228,7485743,2.3,27.25068159,2018-03-01,-0.19,-4.17
2018,M04,158860,7483951,2.1,27.43504972,2018-04-01,-0.02,-8.70
2018,M05,155155,7474582,2.1,26.9792607,2018-05-01,-0.13,0.00
2018,M06,177646,7512538,2.4,27.14392877,2018-06-01,0.51,14.29
2018,M07,172757,7524737,2.3,27.43905096,2018-07-01,0.16,-4.17
2018,M08,167392,7450041,2.2,27.50227594,2018-08-01,-0.99,-4.35
2018,M09,157234,7499573,2.1,27.72611499,2018-09-01,0.66,-4.55
2018,M10,147939,7538892,2,27.79454073,2018-10-01,0.52,-4.76
2018,M11,146965,7572948,1.9,27.85560982,2018-11-01,0.45,-5.00
2018,M12,152203,7581213,2,28.32103048,2018-12-01,0.11,5.26
2019,M01,175413,7580429,2.3,27.88410017,2019-01-01,-0.01,15.00
2019,M02,163488,7629626,2.1,27.82193054,2019-02-01,0.65,-8.70
2019,M03,145648,7604559,1.9,27.68378755,2019-03-01,-0.33,-9.52
2019,M04,124288,7582229,1.6,27.64161655,2019-04-01,-0.29,-15.79
